Taxa	MRAR_1	MRAR_2	MRA_1	MRA_2	baySeq	KW rCLR	edgeR TMM	GLM NBZI	edgeR RLE	ANCOM	GLM rCLR	t-test rCLR	ALDEx2 t-test	ALDEx2 Wilcoxon	DESeq2	fitZIG	fitFeatureModel	ANCOM-BC	SAMseq	LEfSe	KW TSS	KW CLR	t-test CLR	GLM CLR	GLM TSS	limma-voom	t-test TSS
Clostridiales_unclass	2.52423060204949	1.79002764559603	0.00550261988216841	0.00257099451951716	-	-	Replicated	Replicated	Replicated	-	-	-	-	-	Replicated	-	-	Replicated	Replicated	-	-	-	-	-	-	-	-
Ruminococcaceae_unclass	1.59965350715179	1.6988665922977	0.0155500408211393	0.0179619982437435	-	-	Replicated	Replicated	Replicated	-	-	-	-	-	Replicated	-	-	-	Replicated	Replicated	Replicated	-	-	-	-	-	-
Megasphaera	3.83099440650383	2.47237222924924	0.00308973866083353	0.00610491067826449	-	Replicated	-	-	Replicated	-	-	-	-	-	Replicated	Replicated	-	Replicated	-	-	-	-	-	-	-	-	-
Lachnoclostridium	0.649995623460838	0.917685563292375	0.00788499063743939	0.011072328673315	-	-	-	-	Replicated	-	-	-	-	-	Replicated	Replicated	-	-	-	-	-	-	-	-	-	-	-
Desulfovibrionaceae_unclass	1.74415549087139	1.04367504193531	0.000107679212445355	0.000125621008939824	-	Replicated	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
Mollicutes_RF39_unclass	0.99779952223157	0.990268677743539	0.00421812606864055	0.000115676756429851	-	Replicated	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
Paraprevotella	0.823709835517925	0.802614478059494	0.00270741531875014	0.001360246173197	-	Replicated	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
Bacteroides	0.874205633842133	0.965644212203368	0.24050639396102	0.202794003542412	-	Replicated	-	-	-	-	-	-	-	-	Replicated	-	-	-	-	-	-	-	-	-	-	-	-
Phascolarctobacterium	0.664381969337318	0.817003173966426	0.00672224707543429	0.0421325605888472	-	Replicated	-	-	Replicated	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
Sellimonas	5.38475988458197	1.68540534687913	0.000368010827453217	0.000573420244252444	-	Replicated	-	Replicated	-	-	-	-	-	-	-	Replicated	-	-	-	-	-	-	-	-	-	-	-
Ruminococcaceae_UCG-005	1.03053912433985	1.3372954011228	0.007162773998554	0.00376255219860158	-	-	-	-	-	-	-	-	-	-	-	-	-	-	Replicated	-	-	-	-	-	-	-	-
Ruminococcaceae_UCG-004	1.76834676282867	1.2452460469036	0.000449143991116424	0.000778934440297232	-	-	-	-	-	-	-	-	-	-	-	-	-	-	Replicated	-	-	-	-	-	-	-	-
Tyzzerella_4	1.66309214325993	4.73482330590794	0.00472997031607827	0.00229310517719147	-	-	-	-	-	-	-	-	-	-	-	Replicated	-	-	-	-	-	-	-	-	-	-	-
Bacillales_unclass	2.18242698672042	2.30231577098644	0.000312233878089512	0.00153969022188467	-	-	-	-	-	-	-	-	-	-	-	Replicated	-	-	-	-	-	-	-	-	-	-	-
Turicibacter	1.44468080441114	2.16417488800627	0.000585712551920302	0.000481845183662226	-	-	-	-	-	-	-	-	-	-	-	Replicated	-	-	-	-	-	-	-	-	-	-	-
CAG-56	0.583425124797691	0.917462775245351	0.000407180217252601	0.000298807483028376	-	-	-	-	-	-	-	-	-	-	-	Replicated	-	-	-	-	-	-	-	-	-	-	-
DTU089	0.753452959501374	0.782249267763406	0.000296175586620812	0.000448263146595873	-	-	-	-	-	-	-	-	-	-	-	Replicated	-	-	-	-	-	-	-	-	-	-	-
